TrialCount	TrialType	ItiDuration	TactorDuration	TactorDelay	ResponseMaxDuration	StimMovementDuration	RT
206	VisuoTactile	0.5	0.35	0.975	0.5	2.666667	1.502441
207	VisuoTactile	0.5	0.35	1.625	0.5	2.666667	1.850952
208	Tactile	0.5	0.35	0.975	0.5	2.666667	1.40625
209	Tactile	0.5	0.35	1.3	0.5	2.666667	1.58728
210	Tactile	0.5	0.35	1.3	0.5	2.666667	1.684448
211	Tactile	0.5	0.35	0.65	0.5	2.666667	0.9463501
212	VisuoTactile	0.5	0.35	1.95	0.5	2.666667	2.282837
213	VisualCatch	0.5	0.35	1.3	0.5	2.666667	null
214	Tactile	0.5	0.35	1.625	0.5	2.666667	1.990295
215	VisuoTactile	0.5	0.35	0.975	0.5	2.666667	1.335999
216	VisualCatch	0.5	0.35	0.65	0.5	2.666667	1.768433
217	VisualCatch	0.5	0.35	0.65	0.5	2.666667	2.074402
218	VisuoTactile	0.5	0.35	1.3	0.5	2.666667	1.990662
219	VisuoTactile	0.5	0.35	1.95	0.5	2.666667	2.073364
220	VisuoTactile	0.5	0.35	0.975	0.5	2.666667	1.767639
221	Visual	0.5	0.35	0.975	0.5	2.666667	null
222	VisuoTactile	0.5	0.35	1.95	0.5	2.666667	2.28302
223	VisuoTactile	0.5	0.35	0.975	0.5	2.666667	1.391602
224	VisuoTactile	0.5	0.35	1.95	0.5	2.666667	2.268616
225	VisualCatch	0.5	0.35	1.3	0.5	2.666667	null
226	VisuoTactile	0.5	0.35	1.625	0.5	0	null
227	VisuoTactile	0.5	0.35	1.625	0.5	2.666667	1.8797
228	VisuoTactile	0.5	0.35	1.625	0.5	2.666667	1.920654
229	Tactile	0.5	0.35	0.975	0.5	2.666667	1.364136
230	VisuoTactile	0.5	0.35	0.975	0.5	2.666667	1.336304
231	VisuoTactile	0.5	0.35	0.975	0.5	2.666667	1.419678
232	VisuoTactile	0.5	0.35	1.3	0.5	2.666667	1.614868
233	VisuoTactile	0.5	0.35	1.3	0.5	2.666667	1.642517
234	VisuoTactile	0.5	0.35	0.65	0.5	2.666667	1.155273
235	VisuoTactile	0.5	0.35	1.3	0.5	2.666667	1.586548
236	Visual	0.5	0.35	0.325	0.5	2.666667	null
237	VisuoTactile	0.5	0.35	1.95	0.5	2.666667	2.324707
238	VisuoTactile	0.5	0.35	1.95	0.5	2.666667	2.130188
239	VisuoTactile	0.5	0.35	0.65	0.5	2.666667	1.907104
240	VisuoTactile	0.5	0.35	0.65	0.5	2.666667	1.183472
241	Visual	0.5	0.35	0.325	0.5	2.666667	null
242	VisuoTactile	0.5	0.35	1.95	0.5	2.666667	2.296814
243	VisuoTactile	0.5	0.35	0.975	0.5	2.666667	1.489868
244	VisuoTactile	0.5	0.35	1.95	0.5	2.666667	2.185608
245	VisuoTactile	0.5	0.35	0.975	0.5	2.666667	1.447632
246	VisuoTactile	0.5	0.35	1.95	0.5	2.666667	2.282959
247	Tactile	0.5	0.35	1.95	0.5	2.666667	2.562134
