TrialCount,TrialType,ItiDuration,TactorDuration,TactorDelay,ResponseMaxDuration,StimMovementDuration,RT
171,Visual,0.5,0.35,0.325,0.5,2.666667,null
172,Tactile,0.5,0.35,1.95,0.5,2.666667,2.477783
173,VisuoTactile,0.5,0.35,1.625,0.5,2.666667,1.906677
174,Tactile,0.5,0.35,1.625,0.5,2.666667,2.046692
175,VisuoTactile,0.5,0.35,0.65,0.5,2.666667,0.9470215
176,VisuoTactile,0.5,0.35,1.625,0.5,2.666667,1.878662
177,VisuoTactile,0.5,0.35,1.3,0.5,2.666667,1.558655
178,VisuoTactile,0.5,0.35,0.325,0.5,2.666667,0.6116943
179,Tactile,0.5,0.35,1.3,0.5,2.666667,1.685303
180,Tactile,0.5,0.35,0.975,0.5,2.666667,1.266907
181,VisuoTactile,0.5,0.35,1.95,0.5,2.666667,2.240784
182,VisualCatch,0.5,0.35,0.975,0.5,2.666667,null
183,VisuoTactile,0.5,0.35,0.325,0.5,2.666667,0.6399536
184,Tactile,0.5,0.35,1.3,0.5,2.666667,1.893372
185,VisuoTactile,0.5,0.35,0.975,0.5,2.666667,1.308533
186,VisuoTactile,0.5,0.35,1.95,0.5,2.666667,2.199402
187,VisuoTactile,0.5,0.35,0.975,0.5,2.666667,1.322693
188,Visual,0.5,0.35,1.95,0.5,2.666667,null
189,Tactile,0.5,0.35,0.325,0.5,2.666667,0.8911743
190,VisuoTactile,0.5,0.35,1.95,0.5,2.666667,2.212402
191,Tactile,0.5,0.35,0.975,0.5,2.666667,1.50354
192,Tactile,0.5,0.35,1.3,0.5,2.666667,1.587769
193,VisuoTactile,0.5,0.35,0.975,0.5,2.666667,1.225037
194,VisualCatch,0.5,0.35,1.625,0.5,2.666667,null
195,VisuoTactile,0.5,0.35,1.3,0.5,2.666667,1.615112
196,VisuoTactile,0.5,0.35,1.625,0.5,2.666667,1.851624
197,Tactile,0.5,0.35,1.625,0.5,2.666667,2.005127
198,VisuoTactile,0.5,0.35,0.65,0.5,2.666667,0.9457397
199,VisualCatch,0.5,0.35,0.325,0.5,2.666667,null
200,Tactile,0.5,0.35,1.95,0.5,2.666667,2.40863
201,Tactile,0.5,0.35,1.95,0.5,2.666667,2.506165
202,Tactile,0.5,0.35,0.65,0.5,2.666667,1.002319
203,VisuoTactile,0.5,0.35,0.65,0.5,2.666667,0.9188232
204,VisuoTactile,0.5,0.35,0.65,0.5,2.666667,0.9744263
205,VisuoTactile,0.5,0.35,1.625,0.5,2.666667,1.836548
206,Tactile,0.5,0.35,0.325,0.5,2.666667,0.7513428
207,VisuoTactile,0.5,0.35,1.625,0.5,2.666667,1.851563
208,VisualCatch,0.5,0.35,0.975,0.5,2.666667,null
209,VisuoTactile,0.5,0.35,0.975,0.5,2.666666,1.391724
210,Tactile,0.5,0.35,0.325,0.5,2.666667,0.8220215
211,VisuoTactile,0.5,0.35,1.95,0.5,2.666667,2.254944
212,Visual,0.5,0.35,1.95,0.5,2.666667,null
213,VisuoTactile,0.5,0.35,1.3,0.5,2.666667,1.61438
214,VisuoTactile,0.5,0.35,0.65,0.5,2.666667,0.9455566
215,VisuoTactile,0.5,0.35,0.65,0.5,2.666667,0.9734497
216,VisuoTactile,0.5,0.35,1.3,0.5,2.666667,1.545959
217,VisuoTactile,0.5,0.35,0.975,0.5,2.666667,1.253235
218,VisuoTactile,0.5,0.35,0.65,0.5,2.666667,0.9885864
219,Tactile,0.5,0.35,0.65,0.5,2.666667,0.9607544
220,VisuoTactile,0.5,0.35,1.95,0.5,2.666667,2.24115
221,VisuoTactile,0.5,0.35,0.325,0.5,2.666667,0.6259766
222,VisuoTactile,0.5,0.35,0.325,0.5,2.666667,0.5991211
223,Visual,0.5,0.35,0.325,0.5,2.666667,null
224,VisuoTactile,0.5,0.35,0.325,0.5,2.666667,0.598999
225,VisuoTactile,0.5,0.35,1.3,0.5,2.666667,1.55896
226,Tactile,0.5,0.35,1.625,0.5,0,null
227,Visual,0.5,0.35,1.625,0.5,2.666667,null
